nodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
11,1587.9899999999996,1174.9409999999996,353.59800000000007,1283.6709999999996,1341.169,804.475,786.1339999999999,1280.3209999999997,512.7600000000001,1602.1869999999994,,1509.374,1218.589,1177.255,1009.228,2267.765,2210.027,733.5680000000001,1893.703,1789.8689999999992,258.89400000000006,1228.854,1121.651,1740.1660000000002,692.216,1884.457,392.5659999999999,735.5500000000001,639.1900000000002,895.9460000000003,917.8780000000002,1143.989,1365.283,2291.126,2233.908,1658.7220000000002,679.94,9308.982999999998,893.375,571.0319999999999,2148.358,2567.4370000000013,1857.809,2704.327,1175.7380000000005,3231.51,645.266,2310.3060000000005,1367.0000000000002,5753.837000000001,1573.495,212.011,190.19600000000003,329.253,1079.116,884.7340000000003,818.377,1445.1750000000004,158.88,844.1789999999999,850.9160000000002,789.654,1220.915,1734.36,1446.6319999999998,1072.7790000000002,962.5220000000004,2112.78,4007.523,2006.847,472.31500000000005,1619.7510000000002,2027.851,1091.6250000000002,3964.935,1690.043,1243.461,1244.91,1220.915,1342.3099999999995
12,2104.665,828.0520000000001,1414.959,364.625,1753.76,985.1560000000002,723.2400000000001,361.275,1376.928,1447.9830000000002,1509.374,,299.646,626.761,583.289,2274.563,2216.8250000000003,979.465,3291.974,3356.038,1205.3049999999998,1641.4449999999997,1647.7849999999996,1120.6980000000003,2101.158,1891.2550000000003,1115.8480000000002,977.483,1101.015,1308.5369999999996,1330.4689999999998,1556.5799999999997,468.86,1656.7910000000004,2240.706,2281.4120000000003,1180.185,9931.673,823.441,968.759,2771.0480000000007,3190.1270000000013,2480.499,1599.385,2106.119,3854.200000000001,1333.0769999999998,1675.9710000000005,959.0409999999998,5119.502000000001,1580.293,1610.5469999999996,1680.885,1240.314,430.258,1017.942,2227.3190000000004,810.84,1692.5989999999997,1054.527,710.1829999999999,719.72,1633.506,948.146,550.209,1589.454,1479.197,2735.4700000000007,4415.527999999999,2013.645,1881.257,2451.8050000000003,951.092,1586.2089999999998,4587.625000000001,2216.1769999999988,1769.5949999999996,1667.126,1633.506,423.264
13,1813.88,539.3009999999999,1124.174,98.357,1462.975,694.3710000000001,432.455,95.007,1086.143,1216.118,1218.589,299.646,,388.26499999999993,292.504,2389.5709999999995,2331.833,688.6800000000001,3001.189,3065.253,914.52,1350.66,1356.9999999999995,977.49,1810.3730000000005,2006.263,825.0629999999999,686.6980000000001,810.2299999999998,1017.752,1039.684,1265.7949999999998,202.34500000000003,1513.5830000000003,2355.713999999999,1990.627,889.4000000000001,9640.888,532.656,677.9739999999999,2480.263,2899.342000000002,2189.714,1530.1999999999998,1815.3340000000007,3563.415000000001,1042.2919999999997,1532.7630000000004,720.545,4976.294,1695.301,1319.7619999999995,1390.0999999999992,949.529,139.47299999999998,727.1570000000002,1936.534,667.632,1401.814,763.7420000000001,419.398,428.935,1342.721,857.432,283.694,1298.6690000000003,1188.4120000000005,2444.685,4129.329000000001,2128.653,1590.4720000000002,2161.0200000000004,994.712,1295.424,4296.840000000001,1925.392,1478.8099999999995,1376.341,1342.721,156.99599999999998
14,2045.6990000000008,446.242,1263.6699999999998,486.622,1602.4709999999998,601.312,571.951,483.272,1225.639,938.3950000000002,1177.255,626.761,388.26499999999993,,168.02700000000002,1837.007,1779.2690000000002,828.176,3140.685,3013.272,916.751,1105.26,1263.9409999999991,611.11,1717.3140000000008,1453.6990000000003,935.433,826.1940000000001,949.726,1157.2479999999998,1179.1799999999998,1100.9610000000002,590.6100000000001,1147.2029999999995,1803.1500000000003,2130.1230000000005,796.3409999999999,9780.383999999998,507.266,768.0289999999999,2619.759000000001,3038.8380000000016,2329.21,1163.82,1954.8300000000008,3702.9110000000014,1181.788,1166.3829999999998,420.331,4609.914,1142.7370000000003,1370.581,1348.7659999999998,856.4699999999999,323.092,866.6530000000001,1843.4750000000004,301.252,1317.45,670.6829999999999,326.339,568.431,1482.217,510.59,671.9590000000001,1438.1650000000002,1327.908,2584.181000000001,3977.972,1576.089,1497.4130000000005,2300.5160000000005,768.795,1434.9199999999998,4436.336,1832.332999999999,1385.750999999999,1515.837,1482.217,545.261
15,1785.3489999999997,278.215,1095.6429999999998,357.586,1434.4439999999995,433.285,403.924,354.236,1057.612,955.032,1009.228,583.289,292.504,168.02700000000002,,2004.549,1946.811,660.1490000000001,2972.658,2845.245,748.7239999999998,1322.1289999999997,1095.9139999999995,779.137,1549.2870000000005,1621.2410000000002,767.4059999999997,658.1670000000001,781.6989999999998,989.221,1011.153,1237.2639999999997,439.198,1315.23,1970.692,1962.096,628.3140000000001,9612.357,339.239,600.002,2451.732,2870.811000000001,2161.183,1331.8469999999998,1786.8030000000008,3534.884000000001,1013.761,1334.41,535.0640000000001,4777.941,1310.279,1202.554,1180.7389999999998,688.4429999999998,155.065,698.6260000000002,1675.448,469.279,1149.423,502.65600000000006,158.31199999999998,400.404,1314.1899999999998,678.3699999999999,520.547,1270.1380000000004,1159.8810000000003,2416.154,4100.798,1743.631,1329.386,2132.4890000000005,936.822,1266.8929999999998,4268.309,1664.3059999999994,1217.7239999999997,1347.81,1314.1899999999998,416.225
16,1090.4770000000003,2511.872999999999,2090.8350000000005,2454.653,971.226,2127.9210000000003,1957.116,2451.3029999999994,2052.804,2409.793,2267.765,2274.563,2389.5709999999995,1837.007,2004.549,,857.2210000000002,1594.349,3967.85,4031.914,2154.4749999999995,1003.746,3249.3430000000008,2082.5080000000003,2941.296,660.9590000000001,2051.9039999999995,1596.331,1739.4450000000002,1491.1049999999998,1242.9890000000005,1123.776,2536.265,2883.835,142.441,1745.9529999999995,2327.277,10019.901,2064.357,1973.361,2996.435000000001,2568.025000000001,2161.447,2296.384,2590.362,3215.6870000000004,2008.953,2800.211,2213.739,5898.801000000001,711.2860000000001,2286.423,2439.2759999999985,2208.539,2250.098,1835.546,3067.457,1772.65,2368.475,2491.516,2391.9700000000003,1960.636,1041.035,1326.417,2617.614,1400.2110000000002,1472.8330000000003,3078.546000000001,2180.7719999999995,450.619,2721.3949999999995,2606.775,1619.908,1815.0180000000005,3965.523,3817.735000000001,3371.1530000000007,1248.833,1041.035,2513.292
17,1556.5100000000002,2454.135,2033.097,2396.9149999999995,1230.034,2070.1830000000004,1899.378,2393.565,1995.0660000000005,2352.055,2210.027,2216.8250000000003,2331.833,1779.2690000000002,1946.811,857.2210000000002,,1536.611,3910.112,3974.175999999999,2096.736999999999,1070.3369999999998,3191.6050000000005,2024.7700000000004,2883.5579999999995,365.2360000000001,1994.166,1538.5929999999998,1681.707,1433.367,1249.153,1066.038,2478.527,2826.097,999.662,2044.271,2269.539,10709.562,2006.619,1915.623,2795.195,3257.686,2450.404999999999,2238.646,2719.7059999999983,3661.386,1951.215,2742.473,2156.001,5783.081000000001,636.532,2228.684999999999,2381.537999999998,2150.8009999999995,2192.36,1777.8079999999998,3009.719,1714.912,2310.736999999999,2433.778,2334.232,1902.898,1299.843,1268.679,2559.876,1659.0190000000002,1731.6410000000003,2798.2809999999995,2617.665,871.143,2663.657,2797.7249999999995,1562.17,2073.826,4655.183999999999,3759.9970000000008,3313.4150000000004,1507.641,1299.843,2455.554
18,1112.9500000000005,810.982,556.6380000000001,753.762,667.753,489.21600000000007,256.225,750.4119999999999,518.607,1487.799,733.5680000000001,979.465,688.6800000000001,828.176,660.1490000000001,1594.349,1536.611,,2433.653,2497.717,620.2780000000001,555.438,1566.4729999999993,1439.2860000000005,1407.0990000000004,1211.041,517.7070000000001,1982.0,205.248,222.53,244.462,470.573,835.374,1975.379,1560.492,1418.54,718.154,9068.801,363.466,364.238,1908.176,2327.255000000001,1617.6269999999995,2030.911,1243.2470000000003,2991.328,474.7560000000001,1994.559,1067.831,5633.328,900.079,752.2260000000002,905.0790000000004,674.3419999999999,549.207,241.197,1533.26,1129.428,834.2780000000002,882.3929999999998,691.0790000000001,259.745,547.4989999999999,1060.944,916.723,597.739,487.482,1872.598,3334.106999999999,1333.431,1187.198,1588.9329999999998,1354.435,723.3370000000001,3724.7529999999992,2134.864999999999,1688.2829999999992,632.8220000000001,547.4989999999999,812.4010000000001
19,3486.452,2779.725,1915.559,3066.271,3041.2540000000004,2630.765,2568.734,3062.921,2050.8479999999995,2899.7819999999992,1893.703,3291.974,3001.189,3140.685,2972.658,3967.85,3910.112,2433.653,,295.696,2242.1270000000004,2928.9389999999994,2062.516,3037.7610000000013,1355.028,3584.541999999999,2388.302,2435.635,2366.88,2596.030999999999,2617.962999999999,2844.073999999999,3147.883,3823.9430000000016,3933.9929999999977,3295.7510000000007,2526.873000000001,9993.083,2675.9749999999995,2450.905,3274.4320000000016,3887.558000000002,3147.9790000000003,4404.411999999998,2067.859,4588.036000000002,2121.914,3843.1230000000014,3213.933000000002,7641.655000000001,3273.5799999999986,1885.729,1730.753,2176.1860000000006,2861.7159999999994,2674.849999999999,1250.3279999999995,3304.311000000001,1967.781,2448.963,2697.849000000001,2572.2539999999995,2920.999999999998,3434.444999999999,3229.2319999999995,2800.5639999999994,2690.307,2961.818,6248.971000000001,3706.9319999999984,1566.3170000000005,2445.626000000001,3727.935999999999,2711.704,5285.056000000003,2167.6389999999983,1880.858,2969.3760000000016,2920.999999999998,3124.9099999999994
20,3550.516,2741.3050000000007,1979.6230000000007,3130.335,3105.318,2443.824,2632.798,3126.985,2114.9120000000007,2646.4450000000006,1789.8689999999992,3356.038,3065.253,3013.272,2845.245,4031.914,3974.175999999999,2497.717,295.696,,2028.8830000000005,2993.003,1809.179,2784.424000000001,1104.662,3648.6059999999993,2165.387,2499.699,2430.9440000000004,2660.095,2682.026999999999,2908.1379999999995,3211.947,3570.606000000001,3998.056999999998,3364.1980000000017,2319.289,10066.195,2740.039,2282.1210000000005,3342.879000000002,3956.005000000003,3216.4260000000013,3934.6400000000017,2134.8010000000004,4656.483000000003,2185.978,3589.786000000002,3203.017000000001,7388.318,3337.643999999999,1752.159,1593.304,1968.602,2925.78,2738.914,999.9620000000002,3050.9740000000006,1711.988,2241.3789999999995,2490.2650000000003,2636.318,2985.063999999999,3498.508999999999,3293.296,2864.628,2754.371,3030.265000000001,6317.418000000002,3770.995999999999,1301.7119999999998,2514.0730000000017,3791.999999999999,2775.768,5353.503000000003,1914.3019999999992,1627.5210000000002,3033.440000000002,2985.063999999999,3188.974
