nodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
21,1474.6999999999994,914.4369999999996,363.22800000000007,979.602,1227.8789999999997,487.5540000000001,482.065,976.252,575.827,1341.683,258.89400000000006,1205.3049999999998,914.52,916.751,748.7239999999998,2154.4749999999995,2096.736999999999,620.2780000000001,2242.1270000000004,2028.8830000000005,,1115.5640000000003,1176.601,1479.6620000000005,929.593,1771.1670000000006,151.849,622.26,525.9000000000001,782.6560000000002,804.5880000000001,1030.6990000000003,1061.214,2030.622,2120.618,1545.4320000000002,419.4359999999999,9195.693,589.3059999999999,267.923
22,1212.438,1472.9619999999998,1051.9240000000002,1415.742,549.985,1089.0100000000002,918.2050000000002,1412.3919999999998,1013.893,1678.046,1228.854,1641.4449999999997,1350.66,1105.26,1322.1289999999997,1003.746,1070.3369999999998,555.438,2928.9389999999994,2993.003,1115.5640000000003,,2210.4320000000007,1350.7610000000004,1902.385,744.7669999999999,1012.9930000000002,557.4200000000001,700.5340000000001,452.1940000000001,601.9260000000002,84.86500000000001,1497.3539999999998,2152.0880000000006,969.889,1913.826,1288.366,9564.087,1025.446,934.45
23,2569.568,991.974,1508.8029999999997,1422.0819999999997,2322.7470000000003,1263.4529999999993,1372.4559999999994,1418.7319999999995,1644.0919999999994,897.114,1121.651,1647.7849999999996,1356.9999999999995,1263.9409999999991,1095.9139999999995,3249.3430000000008,3191.6050000000005,1566.4729999999993,2062.516,1809.179,1176.601,2210.4320000000007,,1035.0929999999998,835.198,2866.0349999999994,1246.717,1568.4549999999997,1620.7679999999991,1877.5239999999992,1899.4559999999992,2125.566999999999,1503.694,1821.275,3215.485999999998,2640.3,981.0139999999998,10290.560999999998,1265.215,1231.9029999999998
24,2291.2000000000003,989.0709999999996,1960.353,1075.8470000000002,1964.7240000000004,1251.896,1183.0610000000004,1072.497,1922.322,444.905,1740.1660000000002,1120.6980000000003,977.49,611.11,779.137,2082.5080000000003,2024.7700000000004,1439.2860000000005,3037.7610000000013,2784.424000000001,1479.6620000000005,1350.7610000000004,1035.0929999999998,,1733.0659999999996,1699.2,1498.3439999999998,1437.304,1560.836,1713.791,1790.29,1346.462,1179.835,794.1949999999998,2048.651,2891.927,1089.5990000000002,10542.187999999998,1092.545,1443.81
25,2430.273,1472.8510000000003,859.38,1875.4550000000004,2014.7000000000005,1344.5340000000003,1459.6650000000002,1872.1050000000005,994.669,1595.0869999999995,692.216,2101.158,1810.3730000000005,1717.3140000000008,1549.2870000000005,2941.296,2883.5579999999995,1407.0990000000004,1355.028,1104.662,929.593,1902.385,835.198,1733.0659999999996,,2557.988,1066.0970000000002,1409.0809999999997,1310.7010000000002,1569.4769999999996,1591.4089999999997,1817.5199999999995,1957.067,2519.2480000000005,2907.4389999999985,2222.622,1219.999,10064.408,1566.9060000000002,1182.831
26,1142.8070000000005,2128.565,1707.5270000000005,2071.345,816.3309999999999,1744.6130000000005,1573.8080000000002,2067.995,1669.4960000000003,2026.4850000000004,1884.457,1891.2550000000003,2006.263,1453.6990000000003,1621.2410000000002,660.9590000000001,365.2360000000001,1211.041,3584.541999999999,3648.6059999999993,1771.1670000000006,744.7669999999999,2866.0349999999994,1699.2,2557.988,,1668.5959999999995,1213.023,1356.1370000000002,1107.7969999999998,923.583,740.468,2152.957,2500.527,732.968,1630.5679999999998,1943.9690000000005,9487.875999999998,1681.049,1590.053
27,1372.1289999999997,933.1189999999996,348.404,890.145,1125.308,398.0970000000001,392.608,886.7949999999998,473.256,1360.3649999999998,392.5659999999999,1115.8480000000002,825.0629999999999,935.433,767.4059999999997,2051.9039999999995,1994.166,517.7070000000001,2388.302,2165.387,151.849,1012.9930000000002,1246.717,1498.3439999999998,1066.0970000000002,1668.5959999999995,,519.689,423.32900000000006,680.0850000000002,702.017,928.1280000000002,971.757,2049.304,2018.0470000000005,1442.861,438.118,9093.122,499.8490000000001,178.466
28,1114.9320000000002,809.0,558.6200000000001,751.78,669.735,487.234,254.243,748.43,520.5889999999999,1485.817,735.5500000000001,977.483,686.6980000000001,826.1940000000001,658.1670000000001,1596.331,1538.5929999999998,1982.0,2435.635,2499.699,622.26,557.4200000000001,1568.4549999999997,1437.304,1409.0809999999997,1213.023,519.689,,207.23,224.512,246.444,472.555,833.392,1973.397,1562.4740000000004,1420.522,720.136,9070.783,361.484,366.2199999999999
29,987.991,932.532,489.865,875.3119999999999,730.1870000000001,529.147,377.775,871.9619999999998,402.399,1734.4159999999993,639.1900000000002,1101.015,810.2299999999998,949.726,781.6989999999998,1739.4450000000002,1681.707,205.248,2366.88,2430.9440000000004,525.9000000000001,700.5340000000001,1620.7679999999991,1560.836,1310.7010000000002,1356.1370000000002,423.32900000000006,207.23,,367.626,389.558,615.6690000000001,956.924,2096.929,1705.588,1207.271,812.169,8857.532,485.016,374.587
30,1076.6819999999998,1140.054,719.0160000000003,1082.834,573.0229999999999,756.1020000000003,585.2970000000001,1079.4839999999997,680.9850000000001,1816.871,895.9460000000003,1308.5369999999996,1017.752,1157.2479999999998,989.221,1491.1049999999998,1433.367,222.53,2596.030999999999,2660.095,782.6560000000002,452.1940000000001,1877.5239999999992,1713.791,1569.4769999999996,1107.7969999999998,680.0850000000002,224.512,367.626,,149.732,367.329,1164.446,2515.1180000000004,1457.2480000000005,1419.216,955.458,9069.477,692.538,601.542
31,853.566,1161.986,740.9480000000002,1104.7659999999998,423.291,778.0340000000002,607.229,1101.4159999999997,702.917,1838.803,917.8780000000002,1330.4689999999998,1039.684,1179.1799999999998,1011.153,1242.9890000000005,1249.153,244.462,2617.962999999999,2682.026999999999,804.5880000000001,601.9260000000002,1899.4559999999992,1790.29,1591.4089999999997,923.583,702.017,246.444,389.558,149.732,,517.061,1186.378,2664.85,1209.132,1202.303,977.39,9059.611,714.47,623.474
32,1332.4680000000003,1388.0969999999998,967.0590000000004,1330.877,720.6760000000002,1004.1450000000004,833.3400000000001,1327.5269999999998,929.028,1673.7470000000003,1143.989,1556.5799999999997,1265.7949999999998,1100.9610000000002,1237.2639999999997,1123.776,1066.038,470.573,2844.073999999999,2908.1379999999995,1030.6990000000003,84.86500000000001,2125.566999999999,1346.462,1817.5199999999995,740.468,928.1280000000002,472.555,615.6690000000001,367.329,517.061,,1412.4889999999998,2147.7890000000007,1089.919,1828.961,1203.501,9479.222,940.581,849.5849999999998
33,1960.574,685.9949999999999,1270.868,235.51500000000004,1609.669,841.065,579.149,233.52000000000004,1232.837,1362.812,1365.283,468.86,202.34500000000003,590.6100000000001,439.198,2536.265,2478.527,835.374,3147.883,3211.947,1061.214,1497.3539999999998,1503.694,1179.835,1957.067,2152.957,971.757,833.392,956.924,1164.446,1186.378,1412.4889999999998,,1715.928,2502.407999999999,2137.321000000001,1036.094,9787.582,679.35,824.668
34,3092.527,1560.2600000000004,2410.873,1611.9400000000005,2766.051,1715.1830000000002,1719.1540000000002,1608.5900000000004,2372.842,1068.9549999999997,2291.126,1656.7910000000004,1513.5830000000003,1147.2029999999995,1315.23,2883.835,2826.097,1975.379,3823.9430000000016,3570.606000000001,2030.622,2152.0880000000006,1821.275,794.1949999999998,2519.2480000000005,2500.527,2049.304,1973.397,2096.929,2515.1180000000004,2664.85,2147.7890000000007,1715.928,,2849.9779999999982,3277.326,1875.7810000000004,10927.587,1628.638,1882.047
35,948.0360000000002,2478.0159999999987,2056.978,2420.796,875.2360000000001,2094.064,1923.259,2417.445999999999,2018.9470000000003,2375.936,2233.908,2240.706,2355.713999999999,1803.1500000000003,1970.692,142.441,999.662,1560.492,3933.9929999999977,3998.056999999998,2120.618,969.889,3215.485999999998,2048.651,2907.4389999999985,732.968,2018.0470000000005,1562.4740000000004,1705.588,1457.2480000000005,1209.132,1089.919,2502.407999999999,2849.9779999999982,,1603.5119999999995,2293.42,9877.46,2030.4999999999995,1939.504
36,821.5510000000002,2112.9290000000005,1401.7859999999998,2055.7090000000003,1201.504,1654.6940000000002,1558.172,2052.3590000000004,1314.3199999999997,2753.948,1658.7220000000002,2281.4120000000003,1990.627,2130.1230000000005,1962.096,1745.9529999999995,2044.271,1418.54,3295.7510000000007,3364.1980000000017,1545.4320000000002,1913.826,2640.3,2891.927,2222.622,1630.5679999999998,1442.861,1420.522,1207.271,1419.216,1202.303,1828.961,2137.321000000001,3277.326,1603.5119999999995,,1831.701,7944.568000000002,1665.4130000000002,1505.4639999999995
37,1760.9689999999994,524.3739999999999,900.127,954.4820000000002,1400.681,370.6880000000001,605.549,951.132,862.0959999999999,951.62,679.94,1180.185,889.4000000000001,796.3409999999999,628.3140000000001,2327.277,2269.539,718.154,2526.873000000001,2319.289,419.4359999999999,1288.366,981.0139999999998,1089.5990000000002,1219.999,1943.9690000000005,438.118,720.136,812.169,955.458,977.39,1203.501,1036.094,1875.7810000000004,2293.42,1831.701,,9481.962,565.789,383.584
38,8678.858999999999,9763.19,9052.047,9705.97,9058.812,9304.954999999998,9208.433,9702.62,8924.793,10404.208999999995,9308.982999999998,9931.673,9640.888,9780.383999999998,9612.357,10019.901,10709.562,9068.801,9993.083,10066.195,9195.693,9564.087,10290.560999999998,10542.187999999998,10064.408,9487.875999999998,9093.122,9070.783,8857.532,9069.477,9059.611,9479.222,9787.582,10927.587,9877.46,7944.568000000002,9481.962,,9315.674,9155.725
39,1488.666,447.516,798.96,597.738,1137.761,195.101,107.241,594.3879999999999,760.9290000000001,1124.333,893.375,823.441,532.656,507.266,339.239,2064.357,2006.619,363.466,2675.9749999999995,2740.039,589.3059999999999,1025.446,1265.215,1092.545,1566.9060000000002,1681.049,499.8490000000001,361.484,485.016,692.538,714.47,940.581,679.35,1628.638,2030.4999999999995,1665.4130000000002,565.789,9315.674,,352.75999999999993
40,1323.387,603.8169999999999,573.89,743.0559999999999,1046.765,243.29400000000004,245.519,739.7059999999999,535.859,1305.831,571.0319999999999,968.759,677.9739999999999,768.0289999999999,600.002,1973.361,1915.623,364.238,2450.905,2282.1210000000005,267.923,934.45,1231.9029999999998,1443.81,1182.831,1590.053,178.466,366.2199999999999,374.587,601.542,623.474,849.5849999999998,824.668,1882.047,1939.504,1505.4639999999995,383.584,9155.725,352.75999999999993,
