nodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
11,21.173199999999994,15.665879999999994,4.714640000000001,17.11561333333333,17.882253333333335,10.726333333333333,10.481786666666665,17.07094666666666,6.836800000000001,21.36249333333333,,20.12498666666667,16.24785333333333,15.696733333333334,13.456373333333334,30.236866666666664,29.467026666666666,9.780906666666668,25.24937333333333,23.86491999999999
12,28.0622,11.040693333333335,18.86612,4.861666666666666,23.383466666666667,13.135413333333336,9.643200000000002,4.816999999999999,18.35904,19.30644,20.12498666666667,,3.99528,8.356813333333333,7.777186666666666,30.327506666666668,29.55766666666667,13.059533333333334,43.892986666666665,44.747173333333336
13,24.185066666666668,7.19068,14.988986666666666,1.3114266666666667,19.50633333333333,9.25828,5.766066666666666,1.26676,14.481906666666667,16.214906666666664,16.24785333333333,3.99528,,5.176866666666665,3.9000533333333336,31.86094666666666,31.09110666666667,9.1824,40.01585333333333,40.87004
14,27.275986666666675,5.949893333333334,16.84893333333333,6.488293333333334,21.36628,8.017493333333334,7.626013333333334,6.443626666666667,16.341853333333333,12.511933333333335,15.696733333333334,8.356813333333333,5.176866666666665,,2.2403600000000004,24.493426666666668,23.72358666666667,11.042346666666669,41.8758,40.17696
15,23.80465333333333,3.709533333333333,14.60857333333333,4.767813333333334,19.12592,5.7771333333333335,5.385653333333333,4.723146666666667,14.101493333333334,12.73376,13.456373333333334,7.777186666666666,3.9000533333333336,2.2403600000000004,,26.72732,25.95748,8.801986666666668,39.63544,37.9366
16,14.539693333333338,33.49163999999999,27.877800000000008,32.72870666666666,12.94968,28.372280000000003,26.09488,32.68403999999999,27.37072,32.13057333333334,30.236866666666664,30.327506666666668,31.86094666666666,24.493426666666668,26.72732,,11.429613333333336,21.257986666666667,52.90466666666666,53.75885333333333
17,20.753466666666668,32.7218,27.10796,31.958866666666665,16.400453333333335,27.602440000000005,25.32504,31.9142,26.600880000000007,31.36073333333333,29.467026666666666,29.55766666666667,31.09110666666667,23.72358666666667,25.95748,11.429613333333336,,20.48814666666667,52.13482666666667,52.98901333333332
18,14.83933333333334,10.813093333333333,7.421840000000002,10.05016,8.903373333333334,6.522880000000001,3.4163333333333337,10.005493333333332,6.914759999999999,19.83732,9.780906666666668,13.059533333333334,9.1824,11.042346666666669,8.801986666666668,21.257986666666667,20.48814666666667,,32.448706666666666,33.30289333333334
19,46.48602666666667,37.063,25.540786666666666,40.88361333333334,40.55005333333334,35.07686666666667,34.249786666666665,40.838946666666665,27.344639999999995,38.66375999999999,25.24937333333333,43.892986666666665,40.01585333333333,41.8758,39.63544,52.90466666666666,52.13482666666667,32.448706666666666,,3.9426133333333335
20,47.34021333333333,36.55073333333334,26.394973333333343,41.7378,41.40424,32.58432,35.10397333333333,41.693133333333336,28.19882666666668,35.28593333333334,23.86491999999999,44.747173333333336,40.87004,40.17696,37.9366,53.75885333333333,52.98901333333332,33.30289333333334,3.9426133333333335,
