RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO
57,30,158,300,Enfriamiento Simulado,12,True,"[9, 117, 121, 89, 152, 53, 104, 25, 9]",80,4254.808000000001,293.0674278215223,6.932572178477699,8,100.0,0.2380526065826416
58,30,158,300,Algoritmo Genetico Estacionario,12,True,"[9, 53, 116, 102, 144, 152, 94, 9]",65,4421.806,277.0289501312336,22.971049868766386,7,92.85714285714286,23.270527839660645
59,30,158,300,Algoritmo Memetico,12,True,"[9, 152, 21, 104, 25, 89, 144, 117, 9]",79,2420.4170000000004,283.7640026246719,16.23599737532811,8,98.75,360.5884816646576
60,30,158,300,Greedy,13,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10247373580932617
61,30,158,300,GRASP,13,True,"[9, 117, 89, 104, 138, 121, 51, 100, 9]",78,4132.151000000001,268.2277034120735,31.77229658792652,8,97.5,0.08277773857116699
62,30,158,300,Enfriamiento Simulado,13,True,"[9, 117, 144, 89, 152, 109, 104, 121, 9]",79,4457.382,292.72587926509186,7.274120734908138,8,98.75,0.24236631393432617
63,30,158,300,Algoritmo Genetico Estacionario,13,True,"[9, 53, 109, 89, 117, 121, 29, 47, 9]",73,4236.3640000000005,292.5953280839895,7.4046719160105,8,91.25,21.69340753555298
64,30,158,300,Algoritmo Memetico,13,True,"[9, 152, 121, 21, 53, 117, 144, 9]",69,2989.3130000000006,269.22982939632544,30.770170603674558,7,98.57142857142858,358.13103008270264
65,30,158,300,Greedy,14,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.1107337474822998
66,30,158,300,GRASP,14,True,"[9, 117, 89, 53, 104, 121, 102, 152, 9]",80,5047.592,280.24136482939633,19.758635170603668,8,100.0,0.08284902572631836
67,30,158,300,Enfriamiento Simulado,14,True,"[9, 117, 144, 89, 152, 102, 104, 53, 9]",80,4199.8279999999995,288.34590551181105,11.654094488188946,8,100.0,0.2371668815612793
68,30,158,300,Algoritmo Genetico Estacionario,14,True,"[9, 53, 152, 109, 94, 45, 117, 9]",66,3714.416,252.74561679790025,47.254383202099746,7,94.28571428571429,22.23944664001465
69,30,158,300,Algoritmo Memetico,14,True,"[9, 41, 21, 104, 135, 152, 47, 9]",64,5974.6990000000005,297.4081233595801,2.591876640419912,7,91.42857142857142,331.9523432254791
70,30,158,300,Greedy,15,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10179328918457031
71,30,158,300,GRASP,15,True,"[9, 138, 109, 89, 144, 152, 121, 70, 9]",78,5509.6720000000005,289.305406824147,10.694593175853015,8,97.5,0.08280730247497559
